Date,Close
12/2/2019 16:00,311.64
12/3/2019 16:00,309.55
12/4/2019 16:00,311.46
12/5/2019 16:00,312.02
12/6/2019 16:00,314.87
12/9/2019 16:00,313.88
12/10/2019 16:00,313.53
12/11/2019 16:00,314.42
12/12/2019 16:00,317.13
12/13/2019 16:00,317.32
12/16/2019 16:00,319.5
12/17/2019 16:00,319.57
12/18/2019 16:00,319.59
12/19/2019 16:00,320.9
12/20/2019 16:00,320.73
12/23/2019 16:00,321.22
12/24/2019 13:00,321.23
12/26/2019 16:00,322.94
12/27/2019 16:00,322.86
12/30/2019 16:00,321.08
12/31/2019 16:00,321.86
1/2/2020 16:00,324.87
1/3/2020 16:00,322.41
1/6/2020 16:00,323.64
1/7/2020 16:00,322.73
1/8/2020 16:00,324.45
1/9/2020 16:00,326.65
1/10/2020 16:00,325.71
1/13/2020 16:00,327.95
1/14/2020 16:00,327.45
1/15/2020 16:00,328.19
1/16/2020 16:00,330.92
1/17/2020 16:00,331.95
1/21/2020 16:00,331.3
1/22/2020 16:00,331.34
1/23/2020 16:00,331.72
1/24/2020 16:00,328.77
1/27/2020 16:00,323.5
1/28/2020 16:00,326.89
1/29/2020 16:00,326.62
1/30/2020 16:00,327.68
1/31/2020 16:00,321.73
2/3/2020 16:00,324.12
2/4/2020 16:00,329.06
2/5/2020 16:00,332.86
2/6/2020 16:00,333.98
2/7/2020 16:00,332.2
2/10/2020 16:00,334.68
2/11/2020 16:00,335.26
2/12/2020 16:00,337.42
2/13/2020 16:00,337.06
2/14/2020 16:00,337.6
2/18/2020 16:00,336.73
2/19/2020 16:00,338.34
2/20/2020 16:00,336.95
2/21/2020 16:00,333.48
2/24/2020 16:00,322.42
2/25/2020 16:00,312.65
2/26/2020 16:00,311.5
2/27/2020 16:00,297.51
2/28/2020 16:00,296.26
3/2/2020 16:00,309.09
3/3/2020 16:00,300.24
3/4/2020 16:00,312.86
3/5/2020 16:00,302.46
3/6/2020 16:00,297.46
3/9/2020 16:00,274.23
3/10/2020 16:00,288.42
3/11/2020 16:00,274.36
3/12/2020 16:00,248.11
3/13/2020 16:00,269.32
3/16/2020 16:00,239.85
3/17/2020 16:00,252.8
3/18/2020 16:00,240
3/19/2020 16:00,240.51
3/20/2020 16:00,228.8
3/23/2020 16:00,222.95
3/24/2020 16:00,243.15
3/25/2020 16:00,246.79
3/26/2020 16:00,261.2
3/27/2020 16:00,253.42
3/30/2020 16:00,261.65
3/31/2020 16:00,257.75
4/1/2020 16:00,246.15
4/2/2020 16:00,251.83
4/3/2020 16:00,248.19
4/6/2020 16:00,264.86
4/7/2020 16:00,265.13
4/8/2020 16:00,274.03
4/9/2020 16:00,278.2
4/13/2020 16:00,275.66
4/14/2020 16:00,283.79
4/15/2020 16:00,277.76
4/16/2020 16:00,279.1
4/17/2020 16:00,286.64
4/20/2020 16:00,281.59
4/21/2020 16:00,273.04
4/22/2020 16:00,279.1
4/23/2020 16:00,279.08
4/24/2020 16:00,282.97
4/27/2020 16:00,287.05
4/28/2020 16:00,285.73
4/29/2020 16:00,293.21
4/30/2020 16:00,290.48
5/1/2020 16:00,282.79
5/4/2020 16:00,283.57
5/5/2020 16:00,286.19
5/6/2020 16:00,284.25
5/7/2020 16:00,287.68
5/8/2020 16:00,292.44
5/11/2020 16:00,292.5
5/12/2020 16:00,286.67
5/13/2020 16:00,281.6
5/14/2020 16:00,284.97
5/15/2020 16:00,286.28
5/18/2020 16:00,295
5/19/2020 16:00,291.97
5/20/2020 16:00,296.93
5/21/2020 16:00,294.88
5/22/2020 16:00,295.44
5/26/2020 16:00,299.08
5/27/2020 16:00,303.53
5/28/2020 16:00,302.97
5/29/2020 16:00,304.32
6/1/2020 16:00,305.55
6/2/2020 16:00,308.08
6/3/2020 16:00,312.18
6/4/2020 16:00,311.36
6/5/2020 16:00,319.34
6/8/2020 16:00,323.2
6/9/2020 16:00,320.79
6/10/2020 16:00,319
6/11/2020 16:00,300.61
6/12/2020 16:00,304.21
6/15/2020 16:00,307.05
6/16/2020 16:00,312.96
6/17/2020 16:00,311.66
6/18/2020 16:00,311.78
6/19/2020 16:00,308.64
6/22/2020 16:00,310.62
6/23/2020 16:00,312.05
6/24/2020 16:00,304.09
6/25/2020 16:00,307.35
6/26/2020 16:00,300.05
6/29/2020 16:00,304.46
6/30/2020 16:00,308.36
7/1/2020 16:00,310.52
7/2/2020 16:00,312.23
